ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CATEGORY,SUBCATEGORY,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PAYMENTFIRSTNAME,PAYMENTLASTNAME
10107,30,95.7,2,2871.0,2/24/2003,Shipped,1,2,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Unknown,NYC,NY,10022,USA,Unknown,Yu,Kwai,Small,Yu,Kwai
10121,34,81.35,5,2765.9,5/7/2003,Shipped,2,5,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Unknown,Reims,Unknown,51100,France,EMEA,Henriot,Paul,Small,Henriot,Paul
10134,41,94.74,2,3884.34,7/1/2003,Shipped,3,7,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Unknown,Paris,Unknown,75508,France,EMEA,Da Cunha,Daniel,Medium,DaCunha,Daniel
10145,45,83.26,6,3746.7,8/25/2003,Shipped,3,8,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Unknown,Pasadena,CA,90003,USA,Unknown,Young,Julie,Medium,Young,Julie
10159,49,100.0,14,5205.27,10/10/2003,Shipped,4,10,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Unknown,San Francisco,CA,0,USA,Unknown,Brown,Julie,Medium,Brown,Julie
10168,36,96.66,1,3479.76,10/28/2003,Shipped,4,10,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Technics Stores Inc.,6505556809,9408 Furth Circle,Unknown,Burlingame,CA,94217,USA,Unknown,Hirano,Juri,Medium,Hirano,Juri
10180,29,86.13,9,2497.77,11/11/2003,Shipped,4,11,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Unknown,Lille,Unknown,59000,France,EMEA,Rance,Martine,Small,Rance,Martine
10188,48,100.0,1,5512.32,11/18/2003,Shipped,4,11,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Unknown,Bergen,Unknown,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,Oeztan,Veysel
10201,22,98.57,2,2168.54,12/1/2003,Shipped,4,12,2003,Motorcycles,95,S10_1678,Furniture,Cabinet,Mini Wheels Co.,6505555787,5557 North Pendale Street,Unknown,San Francisco,CA,0,USA,Unknown,Murphy,Julie,Small,Murphy,Julie
10211,41,100.0,14,4708.44,1/15/2004,Shipped,1,1,2004,Motorcycles,95,S10_1678,Furniture,Cabinet,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Unknown,Paris,Unknown,75016,France,EMEA,Perrier,Dominique,Medium,Perrier,Dominique
